login,password
feature_admin@test.com,Test!1234
testuser100@test.ru,Test!1234
testuser99@test.ru,Test!1234
testuser98@test.ru,Test!1234
testuser97@test.ru,Test!1234
testuser96@test.ru,Test!1234
testuser95@test.ru,Test!1234
feature_admin@test.com,Test!1234
testuser94@test.ru,Test!1234
testuser93@test.ru,Test!1234
testuser92@test.ru,Test!1234
testuser91@test.ru,Test!1234
testuser90@test.ru,Test!1234
testuser89@test.ru,Test!1234
testuser88@test.ru,Test!1234
feature_admin@test.com,Test!1234
testuser87@test.ru,Test!1234
testuser86@test.ru,Test!1234
testuser85@test.ru,Test!1234
testuser84@test.ru,Test!1234
testuser83@test.ru,Test!1234
testuser82@test.ru,Test!1234
testuser81@test.ru,Test!1234
feature_admin@test.com,Test!1234
testuser80@test.ru,Test!1234
testuser79@test.ru,Test!1234
testuser78@test.ru,Test!1234
testuser77@test.ru,Test!1234
testuser76@test.ru,Test!1234
testuser75@test.ru,Test!1234
testuser74@test.ru,Test!1234
testuser73@test.ru,Test!1234
testuser72@test.ru,Test!1234
testuser71@test.ru,Test!1234
feature_admin@test.com,Test!1234
testuser70@test.ru,Test!1234
testuser69@test.ru,Test!1234
testuser68@test.ru,Test!1234
testuser67@test.ru,Test!1234
testuser66@test.ru,Test!1234
testuser65@test.ru,Test!1234
testuser64@test.ru,Test!1234
testuser63@test.ru,Test!1234
testuser62@test.ru,Test!1234
testuser61@test.ru,Test!1234
testuser60@test.ru,Test!1234
testuser59@test.ru,Test!1234
testuser58@test.ru,Test!1234
testuser57@test.ru,Test!1234
feature_admin@test.com,Test!1234
testuser56@test.ru,Test!1234
testuser55@test.ru,Test!1234
testuser54@test.ru,Test!1234
testuser53@test.ru,Test!1234
testuser52@test.ru,Test!1234
testuser51@test.ru,Test!1234
testuser50@test.ru,Test!1234
testuser49@test.ru,Test!1234
testuser48@test.ru,Test!1234
testuser47@test.ru,Test!1234
testuser46@test.ru,Test!1234
testuser45@test.ru,Test!1234
feature_admin@test.com,Test!1234
testuser44@test.ru,Test!1234
testuser43@test.ru,Test!1234
testuser42@test.ru,Test!1234
testuser41@test.ru,Test!1234
testuser40@test.ru,Test!1234
testuser39@test.ru,Test!1234
testuser38@test.ru,Test!1234
feature_admin@test.com,Test!1234
testuser37@test.ru,Test!1234
testuser36@test.ru,Test!1234
testuser35@test.ru,Test!1234
testuser34@test.ru,Test!1234
testuser33@test.ru,Test!1234
feature_admin@test.com,Test!1234
testuser32@test.ru,Test!1234
testuser31@test.ru,Test!1234
testuser30@test.ru,Test!1234
testuser29@test.ru,Test!1234
testuser28@test.ru,Test!1234
feature_admin@test.com,Test!1234
testuser27@test.ru,Test!1234
testuser26@test.ru,Test!1234
testuser25@test.ru,Test!1234
testuser24@test.ru,Test!1234
testuser23@test.ru,Test!1234
testuser22@test.ru,Test!1234
feature_admin@test.com,Test!1234
testuser21@test.ru,Test!1234
testuser20@test.ru,Test!1234
testuser19@test.ru,Test!1234
testuser18@test.ru,Test!1234
testuser17@test.ru,Test!1234
testuser16@test.ru,Test!1234
testuser15@test.ru,Test!1234
testuser14@test.ru,Test!1234
testuser13@test.ru,Test!1234
testuser12@test.ru,Test!1234
feature_admin@test.com,Test!1234
testuser11@test.ru,Test!1234
testuser10@test.ru,Test!1234
testuser9@test.ru,Test!1234
testuser8@test.ru,Test!1234
testuser7@test.ru,Test!1234
testuser6@test.ru,Test!1234
testuser5@test.ru,Test!1234
feature_admin@test.com,Test!1234
testuser4@test.ru,Test!1234
testuser3@test.ru,Test!1234
testuser2@test.ru,Test!1234
testuser1@test.ru,Test!1234
testuser100@test.ru,Test!1234
testuser99@test.ru,Test!1234
testuser98@test.ru,Test!1234
testuser97@test.ru,Test!1234
testuser96@test.ru,Test!1234
testuser95@test.ru,Test!1234
feature_admin@test.com,Test!1234
testuser94@test.ru,Test!1234
testuser93@test.ru,Test!1234
testuser92@test.ru,Test!1234
testuser91@test.ru,Test!1234
testuser90@test.ru,Test!1234
testuser89@test.ru,Test!1234
testuser88@test.ru,Test!1234
feature_admin@test.com,Test!1234
testuser87@test.ru,Test!1234
testuser86@test.ru,Test!1234
testuser85@test.ru,Test!1234
testuser84@test.ru,Test!1234
testuser83@test.ru,Test!1234
testuser82@test.ru,Test!1234
testuser81@test.ru,Test!1234
feature_admin@test.com,Test!1234
testuser80@test.ru,Test!1234
testuser79@test.ru,Test!1234
testuser78@test.ru,Test!1234
testuser77@test.ru,Test!1234
testuser76@test.ru,Test!1234
testuser75@test.ru,Test!1234
testuser74@test.ru,Test!1234
testuser73@test.ru,Test!1234
testuser72@test.ru,Test!1234
testuser71@test.ru,Test!1234
feature_admin@test.com,Test!1234
testuser70@test.ru,Test!1234

